,Instrument,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,"Gross Margin, Percent","Gross Margin, Percent","Gross Margin, Percent","Gross Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","CO2 Equivalent Emissions Direct, Scope 1, 2022","CO2 Equivalent Emissions Direct, Scope 1, 2021","CO2 Equivalent Emissions Direct, Scope 1, 2020","CO2 Equivalent Emissions Direct, Scope 1, 2019","CO2 Equivalent Emissions Indirect, Scope 2, 2022","CO2 Equivalent Emissions Indirect, Scope 2, 2021","CO2 Equivalent Emissions Indirect, Scope 2, 2020","CO2 Equivalent Emissions Indirect, Scope 2, 2019","CO2 Equivalent Emissions Indirect, Scope 3, 2022","CO2 Equivalent Emissions Indirect, Scope 3, 2021","CO2 Equivalent Emissions Indirect, Scope 3, 2020","CO2 Equivalent Emissions Indirect, Scope 3, 2019","CO2 Equivalent Emissions Total, 2022","CO2 Equivalent Emissions Total, 2021","CO2 Equivalent Emissions Total, 2020","CO2 Equivalent Emissions Total, 2019","CO2 Estimation Method, 2022","CO2 Estimation Method, 2021","CO2 Estimation Method, 2020","CO2 Estimation Method, 2019",Employee Satisfaction,Employees With Disabilities,Employees Health & Safety Controversies,Full-Time Employees (Pvt),Employee Satisfaction,Employees With Disabilities,Employee Health & Safety Training Hours,Employee Accidents,Employee Lost Working Days,Employees Health & Safety Controversies,Employee Resource Groups,Employee Engagement Voluntary Work,Policy Supply Chain Health & Safety,Environmental Supply Chain Monitoring,Environmental Supply Chain Management,Policy Environmental Supply Chain,Supply Chain Health & Safety Training,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Resource Reduction Targets,Targets Water Efficiency,Targets Energy Efficiency,Renewable Energy Use Ratio,Energy Use Total,Energy Purchased Direct,Renewable Energy Purchased,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,SOx Emissions To Revenues USD in million,Injuries To Million Hours,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Trade Union Representation,Recent Diversity Opportunity Controversies,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage,Executive Compensation Controversies,Sustainability Compensation Incentives,Executive Individual Compensation
975,PRFT.OQ,Perficient Inc,Technology,Software & IT Services,Software & IT Services,38.93203,38.39732,37.80388,37.36586,15.9409,10.1095,8.28529,9.78415,96.21092979,89.40715255,46.59585158,32.71892183,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,6893,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,14.29,14.29,,,85.71,85.71,,0,0,0
976,FLWS.OQ,1-800-Flowers.Com Inc,Consumer Cyclicals,Retailers,Specialty Retailers,37.54119,37.21833,42.23966,41.7683,-1.73506,1.90685,7.02497,5.39487,41.62210735,31.89912232,35.65560728,23.15283135,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,4200,,,,,,,1,1,1,,0,1,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0
977,NTCT.OQ,Netscout Systems Inc,Technology,Software & IT Services,Software & IT Services,75.60517,74.96584,73.28259,72.84295,8.49223,5.68436,4.46659,1.97775,4.926960277,16.98703404,17.44957944,23.22078477,760,550,,,15000,15200,,,,,,,15760,15750,,,Reported,Reported,Median,Median,,,,2355,,,,,,,0,1,1,1,1,1,1,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,11.12,11.12,,,88.88,88.88,,0,1,1
978,ARLP.OQ,Alliance Resource Partners LP,Energy,Energy - Fossil Fuels,Coal,95.26239,95.1605,98.40912,93.73713,27.36061,13.96219,-6.23825,22.25297,25.10664465,35.92489921,56.07022776,63.17909451,,,,,,,,,,,,,,,,,Median,Median,Median,,,,,3371,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0
979,CE.N,Celanese Corp,Basic Materials,Chemicals,Chemicals,24.60457,31.41619,22.86472,25.50421,14.24584,22.79489,36.64014,13.2444,260.4044705,94.70040582,105.5870675,155.7638612,2375026,2275903,1935300,,1331805,1371062,986200,,,,,,3706831,3646965,2921500,,Reported,Reported,Reported,CO2,,,,13263,,,,,,,1,1,1,1,1,1,0,2392.187976,7269.923266,1,0,1,0.000452737,54505607.64,54505195.12,24676.70018,19403.06899,165644000,165625000,1407974,0.006837296,0.85,1,0,46,,,,,,,,,,,,,18,,,,,,,0,1,0
980,BLK.N,BlackRock Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,80.94892,81.86745,82.11663,81.68375,35.72428,38.4536,35.14347,38.18007,17.62929207,19.75433104,20.5878185,14.77032224,5765,4766,3569,5589,22372,18637,19363,23126,332230,285837,233031,309161,28137,23403,22932,28715,Reported,Reported,Reported,Reported,,,,19800,,,,,,,1,1,1,,1,1,1,,,1,1,0,,,,,,,,,,,1,1,,,7.8,7.7,54.7,2.8,2.8,29.9,20,3.5,4.2,70.1,2.2,,,,,,,,0,1,0
981,DHC.OQ,Diversified Healthcare Trust,Real Estate,Real Estate,Residential & Commercial REITs,13.59463,21.06691,24.24404,52.98105,-9.65022,-2.42624,0.58896,9.29525,115.5106607,138.0911136,140.1858775,127.9604125,,,,,,,,,,,,,,,153042.807,166031.332,CO2,,Reported,Reported,,,,600,,,,,,,0,1,0,,0,0,0,,,1,1,1,,,,,1972.934861,2532400,2532400,,,,1,0,,,,,,,,,,,,,,14,,,,,,,0,0,1
982,WW.OQ,WW International Inc,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,59.79694,59.9074,56.44202,55.66132,-27.18436,13.68553,15.68524,20.37624,,,,,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,7100,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,18,,9,9,82,82,,0,0,0
983,CRL.N,Charles River Laboratories International Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,36.78644,37.69993,36.71565,36.55965,16.87537,17.30323,14.79955,13.39644,91.09345081,105.1892837,93.62447401,115.5163026,90858,88217,90392,89731,41482,46106,48236,86218,343219,300653,291030,,132340,134323,138628,175949,Reported,Reported,Reported,Reported,,,,20000,,,,802,,,1,1,1,1,1,1,1,212.7482436,,0,0,0,0.081951807,4543236,4543236,372326.4,,,,,,20.05,1,0,,,8,11,71,3,3,18.9,,,,,,10,,,,,,,0,0,0
984,PLUG.OQ,Plug Power Inc,Energy,Renewable Energy,Renewable Energy,-27.70814,-34.10226,-22.74859,4.63007,-97.01984,-87.05702,-184.85625,-20.9288,14.24464326,13.10750862,30.53958671,281.5068598,16910,,,,20141,,,,,,,,37051,,,,Reported,Energy,Energy,Median,78,,,3353,78,,,,,,0,1,0,1,1,1,0,,,0,0,0,,,,,55.99654995,39278.22,,,,4.1,1,0,,,,,,,,,,,,,,20,20,,,80,80,,0,0,0
985,AKAM.OQ,Akamai Technologies Inc,Technology,Software & IT Services,Software & IT Services,61.73759,63.33793,64.58351,65.86888,18.69889,22.62634,20.5911,18.96996,52.41192637,43.62386077,44.8500175,50.29557474,62,38,10,,219220,191370,172500,,123150,144820,113600,,219282,191408,172500,,Reported,Reported,Reported,CO2,,,,9800,,,,,,,1,1,1,1,1,1,0,128.0343737,,1,0,1,0.499724682,2687800,2687800,1343160,,,,,,,1,0,,,,,,,,,,,,,,27.27,9.09,18.18,,72.73,72.73,,0,1,0
986,KTOS.OQ,Kratos Defense and Security Solutions Inc,Industrials,Industrial Goods,Aerospace & Defense,25.15863,27.73876,27.17668,26.48084,-1.73661,3.43808,3.91868,5.29617,32.23325857,36.0914189,36.82049065,58.19543634,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,3600,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,12.5,12.5,,,87.5,87.5,,0,1,0
987,NEO.OQ,Neogenomics Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,36.86201,38.62251,41.82559,48.14617,-30.92296,-24.51928,-3.46317,2.93227,53.64525667,48.15483855,24.76299666,20.78406332,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,2100,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,14,,14,,86,86,,0,1,0
988,EXPE.OQ,Expedia Group Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,85.79755,82.29821,67.68609,82.07508,9.77115,4.21028,-52.54857,7.48322,273.3245729,410.7866747,324.4815791,124.4769347,3178,,8133,6355,14269,,16700,37898,557513,,16919,70315,17447,,24833,44253,Reported,,Reported,Reported,71,,,16500,71,,,,,,1,1,1,,1,1,0,,,0,0,0,0.593667484,211322,211322,125455,,,,,,,1,1,,,4.7,8.2,51.7,4,4,35.7,26.6,2.2,4.2,64.3,2.7,50,8.333,8.333,16.667,50,50,16.667,0,0,1
989,A.N,Agilent Technologies Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,50.87077,54.35164,53.91676,53.13729,20.38636,23.62734,21.31666,15.84566,46.79213003,52.19604147,50.64019299,48.40960394,11732,11447,10961,9192,37555,36577,41705,39735,107774,79369,115270,169001,49287,48024,52666,48927,Reported,Reported,Reported,Reported,88,,,18100,88,,,44,0,,1,1,1,1,1,1,0,14.8024296,10.56028304,1,1,1,,604136,579209,,62.93808411,431000,431000,,,0.85,1,1,12.9,,7,9,63,3,3,30,16,5,7,70,2,27.27,18.18,9.09,,72.73,72.73,,0,1,0
990,TDY.N,Teledyne Technologies Inc,Technology,Technology Equipment,Electronic Equipment & Parts,42.69043,39.95839,38.26388,39.30016,18.00095,12.86652,15.55635,15.54242,47.99245948,53.78378378,24.11261847,31.33311231,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,14700,,,,120,,,0,0,0,1,1,1,0,,77.26973584,0,0,0,,,,,382.155384,1179407.946,,,,5.6,1,0,,,4.4,13.9,60.9,2.7,2.7,,,,,,,9,,,,,,,0,0,0
991,DMRC.OQ,Digimarc Corp,Technology,Software & IT Services,Software & IT Services,47.21992,66.90422,66.92789,65.04111,-204.6859,-131.11614,-136.77782,-146.73946,0,0,6.041341142,0,13.5,,,,0,,,,122.1,,,,13.5,,,,Reported,Median,Median,Median,74,,,277,74,,,,,,0,1,1,,0,0,0,,4.47794148,0,0,0,,,,5502.38,118.0241327,3130,,,,,1,0,0,,1.8,2.7,79.2,4.1,4.1,20,10,0,10,80,0,37.5,25,,12.5,62.5,62.5,,0,0,0
992,EQIX.OQ,Equinix Inc,Real Estate,Real Estate,Residential & Commercial REITs,48.34852,47.66931,48.74857,49.47657,16.53363,14.96544,15.1224,20.07871,130.8643186,126.2747055,117.1762184,133.7697325,40300,50700,55100,40700,2405200,2307600,2280200,2079000,1292000,1504000,1318000,1311000,2445500,2358300,2335300,2119700,Reported,Reported,Reported,Reported,80,,,12097,80,,,33,,,1,1,1,1,1,1,1,,,0,0,0,0.939911448,28458000,28458000,26748000,,,,,,1.35,1,0,,,7.2,13.7,46.2,8.4,8.4,47,29.2,3.2,6.9,53,7.7,27,,,,,,,0,0,0
993,MDLZ.OQ,Mondelez International Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,35.91567,39.18524,39.29875,39.96057,10.8109,15.72423,13.79933,14.85619,85.3066994,69.02260427,72.68837479,67.64068867,879703,894692,852548,856590,793176,641415,760947,938601,28485200,27888800,23084100,22657830,1672880,1536110,1613500,1795191,Reported,Reported,Reported,Reported,,,,91000,,,,182,0,,0,1,1,1,1,1,1,206.5729143,162.6590376,1,1,0,0.124807545,18809600,18780700,2347580,470.2501905,14811000,14811000,,,1,1,1,46.857,,,,,,,5.5,,,,,,20,,20,,80,80,,0,1,0
994,SLAB.OQ,Silicon Laboratories Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,62.74321,59.01174,57.70774,59.1437,11.64528,-5.02705,-21.76197,-18.70954,37.69181385,20.3667561,46.95830531,33.02602303,33,,,,1587,,,,106113,,,,1620,,,,Reported,CO2,CO2,CO2,,,,1964,,,,0,0,,1,1,1,1,1,1,1,,2.304234241,0,0,0,,,,18921.6,11.35131968,11625,,,,0,1,1,,,2.66,8.95,56.92,0.84,0.84,,,,,,,20,20,,,80,80,,0,1,0
995,EPC.N,Edgewell Personal Care Co,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,41.717,40.69623,45.66186,45.44289,10.08172,8.34369,10.1902,4.47761,89.59428757,96.62259368,79.57457552,87.86377277,8157,8933,9516,7538,67633,70589,81693,89988,,,,,75790,79522,91209,97526,Reported,Reported,Reported,Reported,,,,6800,,,,42,,,0,1,1,1,1,1,0,251.2743925,91.02653297,1,1,1,,812644,812644,,141.0377042,294388,,,,3.15,1,1,42,,14,9,69,1,1,16,7,3,5,84,1,27,18,9,,73,73,,0,0,0
996,EW.N,Edwards Lifesciences Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,79.92717,76.13187,75.3642,74.36983,32.55611,32.30387,20.46372,26.37534,10.26917182,10.2075087,13.00745469,14.32876118,14390,14416,13800,12659,33369,31845,27931,28118,416942,31264,51550,47204,47759,46262,41731,40777,Reported,Reported,Reported,Reported,,0.6,,17300,,0.6,,,,,1,1,1,1,1,1,0,7.545229813,7.181967153,1,1,1,,614772,,,111.8344959,585174,585174,7041,0.001274916,3.4,1,0,,,2.3,22.6,35.8,4.4,4.4,,,,,,,25,,,,,,,0,0,0
997,HSTM.OQ,HealthStream Inc,Technology,Software & IT Services,Software & IT Services,65.84178,64.53886,63.51205,59.11645,4.66559,3.13776,6.46092,5.79272,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,1135,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,0,0,0,0,100,100,0,0,0,0
998,EXEL.OQ,Exelixis Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,96.40554,96.31539,96.32703,96.58009,12.50628,19.97714,11.14489,38.17726,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,1223,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,5,6,45,5,5,,,,,,,33,,,,67,67,33,0,1,0
999,ISRG.OQ,Intuitive Surgical Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,67.43596,69.32453,65.64794,69.44736,25.34634,31.89086,24.08682,30.69108,0,0,0,0,,7409,,,,18578,,,,479086,,,,25987,,,CO2,Reported,Median,Median,,,,12120,,,,,,,1,1,1,1,1,1,1,,,0,0,0,,,,,,,,,,0.73,1,0,,,,,,,,,,,,,,18.19,9.1,9.09,,81.81,81.81,,0,1,0
1000,ILMN.OQ,Illumina Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,64.83421,69.68626,68.01482,69.63026,-91.16492,-2.71763,17.90676,29.32543,41.44567359,15.78212291,25.22368982,24.73444613,20296,19701,12489,6317,16618,16872,21915,37190,323703,242412,238111,,36914,36573,34404,43507,Reported,Reported,Reported,Reported,90,4,,11500,90,4,43066,43,,,1,1,1,1,1,1,0,9.649529578,4.382106616,1,1,0,0.011285381,590144,581067,6660,59.2134335,268000,195000,74000,,2.7,1,1,0,,2,9,45,11,11,45,26,3,8,55,8,30,16,2,3,70,70,9,0,0,0
1001,TNET.N,TriNet Group Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,22.90686,20.63877,19.65791,17.73859,10.21494,10.02203,9.12246,6.95021,64,56.1861521,60.95551895,82.31578947,,,,,,,,,,,,,,,,,Median,Median,Median,Median,78,,,3600,78,,,,,,1,1,0,,0,1,0,,,0,0,0,,,,,,,,,,,1,0,0,,11,9,62,6,6,,,,,,,38,,13,25,62,62,,0,0,0
1002,ON.OQ,ON Semiconductor Corp,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,48.96832,40.27271,32.65081,35.76723,29.06368,18.82548,6.63559,7.72939,52.20489618,67.55135866,98.66610146,109.4133325,841104,2485870,2173450,2074679,741934,782790,774849,671656,2143210,617,1565,12638,1583040,3268660,2948300,2746335,Reported,Reported,Reported,Reported,75,0.39,,31000,75,0.39,,40,,,1,1,1,1,1,1,1,,,0,0,0,,6308220,6308220,,1644.447647,13692000,13692000,5776000,,0.567,1,0,26.5,,1.5,4.2,74.2,2.7,2.7,,,,,,,20,20,,,80,80,,0,1,0
1003,ENTG.OQ,Entegris Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,42.5472,46.09453,45.70086,44.72806,14.52435,22.98628,21.14044,22.70666,179.7667185,54.67600586,78.70878743,80.32359856,23756,30855,32775.96,21551.908,97009,,102305.544,103728.249,,,,,120765,30855,135081.504,125280.157,Reported,CO2,Reported,Reported,87,,,10000,87,,,7,,,1,1,1,,0,0,0,58.19295826,67.31571083,1,0,1,,1147076,1147076,0,577.1916012,1326900,,,,0.51,1,1,0,,,,,,,,,,,,,25,,12.5,12.5,75,75,,0,1,0
1004,BRKR.OQ,Bruker Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,51.62998,50.02688,47.28553,48.02181,17.09804,17.09335,12.49308,14.518,109.4630993,124.6333489,87.85892634,89.68901632,3621,,,,10426,,,,,,,,14047,,,,Reported,Median,Median,Median,,,,8525,,,,111,,,1,1,1,1,1,1,0,,,0,0,0,,268682,212260,,39.08009642,98900,,,,6.5,1,0,,,4,10,67,4,4,,,,,,,9.1,9.1,,,90.9,90.9,,0,0,0
1005,BHLB.N,Berkshire Hills Bancorp Inc,Financials,Banking & Investment Services,Banking Services,,,,,,,,,13.66473038,9.080837425,9.064274066,6.137507648,2869.2,1863.9,1900.5,,225.6,1182.3,842.1,,494.3,404.4,381.5,,3094.8,3046.2,2742.6,,Reported,Reported,Reported,Energy,,3,,1310,,3,,20,,,1,1,0,,0,0,0,64.62036859,,0,0,0,0.331778353,87282.367,87282.367,28958.4,,,,,,7.479,1,0,0,,,,,,,4,,,,,,33,,,,,,,0,1,0
1006,VC.OQ,Visteon Corp,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,9.79766,9.15975,9.61538,11.06961,4.95208,2.99315,-0.5887,3.70119,51.7037037,68.41085271,90.18087855,80.20833333,3940,1090,1166,1147,38508,28828,33392,38932,,,,,42448,29918,34558,40079,Reported,Reported,Reported,Reported,,,,10000,,,,2,64.4,,1,1,1,1,1,1,0,,,1,1,1,,441572,429932,,48.18956337,181000,181000,,,0.125,1,0,,,,,,,,,,,,,,22.2,22.2,,,77.8,77.8,,0,1,0
1007,ACLS.OQ,Axcelis Technologies Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,43.67292,43.24168,41.84592,42.03197,23.08277,19.22096,12.23049,7.05772,6.955950939,8.79361881,9.997674428,11.57483901,3378.4,3818.5,3076.75,,5812.3,5754.4,5901.07,,,,,,9190.7,9572.9,8977.82,,Reported,Reported,Reported,Median,,,,1388,,,,5,,,0,1,1,1,1,1,0,27.81096458,19.88067005,1,0,1,0.133064983,70244.1,70244.1,9347.03,75.80295519,50214,,,,2.25,1,1,,,,,,,,,,,,,,40,20,10,10,60,60,,0,0,0
1008,SAVA.OQ,Cassava Sciences Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,26,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,33.33,,,,66.67,66.67,33.33,0,1,0
1009,PNFP.OQ,Pinnacle Financial Partners Inc,Financials,Banking & Investment Services,Banking Services,,,,,,,,,11.25890315,10.89272846,16.34665828,20.17283828,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,3242,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0
1010,SPTN.OQ,SpartanNash Co,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,15.52898,15.7191,15.24274,14.57147,0.71081,1.25629,1.09543,0.66322,65.73580935,51.82527345,66.17844525,100.1476282,228900,70281,,,164317,,,,,,,,393217,,,,Reported,Energy,Energy,Median,75,,,10500,75,,,,,,1,1,1,,1,1,0,,,0,0,0,0.019914511,3485820,3485820,69418.4,77.44324958,746793,746793,,,,1,0,6.47,,,,,,,,,,,,,33.33,11.11,22.22,,66.67,66.67,,0,0,0
1011,ITGR.N,Integer Holdings Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,26.17216,27.59609,26.61597,28.21808,8.80847,10.80282,11.18943,12.33095,65.91809552,61.12997962,57.5315781,70.69678817,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,10000,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,18.18,,18.18,,81.82,81.82,,0,0,0
1012,PDFS.OQ,PDF Solutions Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,67.75004,60.208,58.24342,60.88801,-1.40829,-17.10787,-19.07071,-8.92212,0,0,0,0,,,,,,,,,,,,,,,,,Energy,Median,Median,Median,,,,458,,,,,,,0,0,1,1,1,1,0,,,0,0,0,,4108,4108,,,,,,,,1,0,0,,,,,,,,,,,,,42.86,28.57,,,57.14,57.14,14.29,0,0,1
1013,TTMI.OQ,TTM Technologies Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,18.35497,16.54309,17.05312,17.68119,8.43303,4.92605,1.33433,5.13916,61.40914925,64.78095281,58.36895753,115.3943944,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,17800,,,,,,,0,1,1,,1,1,0,,,0,0,0,,,,,,,,,,,1,0,61.491,,,,,,,,,,,,,11.11,,11.11,,88.89,88.89,,0,1,0
1014,TPR.N,Tapestry Inc,Consumer Cyclicals,Retailers,Specialty Retailers,70.78473,69.5699,71.17624,67.6684,17.60123,16.7866,16.84562,-11.10171,73.01782422,74.11507329,48.93995643,101.243191,953,1175.93,936.25,1048.12,58414,25901.1,57008.46,57255.45,68370,47152,89931,92740.12,59367,27077,57944.71,58303.57,Reported,Reported,Reported,Reported,,,,12600,,,,,,,1,1,1,1,1,1,1,39.69387453,2.669762512,1,1,0,0.084219018,535518,535518,45100.8,6.268085551,36018.3,36018.3,,,,1,1,,,,,57,43,43,19,,,,81,19,40,,,,60,60,40,0,1,0
1015,NS.N,NuStar Energy LP,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,34.42259,33.76095,36.81535,33.8534,25.26183,14.60945,4.54628,26.0955,244.4130451,199.429068,196.4145802,144.0679432,144168,128236,,,177584,181349,,,,,,,321752,309585,,,Reported,Reported,Median,,,,,1167,,,,3,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,1.15,1,0,1.1,,,,,,,,,,,,,30,,,,,,,0,1,0
1016,GPN.N,Global Payments Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,58.25847,56.17516,51.34238,58.9343,7.13219,15.94221,12.04211,16.11226,63.69262752,46.73568777,35.31513001,34.42283562,1159,1397.7,2721,,50164,48206.6,43111,,502061,525534,,,51323,49604.3,45832,,Reported,Reported,Reported,Median,61,,,25000,61,,,,,,1,1,0,,0,0,0,,,0,0,0,0.19871905,503064,503064,99968.4,18.38823823,165044,,,,,1,1,,1,15,7,60,9,9,25,9,5,4,75,7,,,,,,,,0,0,0
1017,ALGN.OQ,Align Technology Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,70.52296,74.2642,71.32998,72.4572,17.20637,25.80084,15.66263,22.54005,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,23165,,,,,,,1,1,0,,1,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,30,20,10,,70,70,,0,0,0
1018,EXAS.OQ,Exact Sciences Corp,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,72.4416,74.0388,76.24205,75.26889,-28.4756,-48.42308,-51.47517,-26.67852,73.82801179,64.91051577,99.15940262,36.2185711,12244,12031,,,13896,13221,,,21590,,,,26140,25252,,,Reported,Reported,Median,Median,,,,6300,,,,26,,,0,1,1,,0,1,0,,,0,0,0,0.112999393,161346,161346,18232,,72376.3,72376.3,,,2.05,1,0,0,,,,72,28,28,,,,,,,10,,10,,90,90,,0,1,0
1019,EFSC.OQ,Enterprise Financial Services Corp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,31.50257216,33.27164192,46.7775435,46.86773872,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,1074,,,,,0,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,0,1,0,,,,,,,,24,,,,,,25,12.5,6.25,6.25,75,75,,0,0,0
1020,AXON.OQ,Axon Enterprise Inc,Industrials,Industrial Goods,Aerospace & Defense,61.23343,62.65021,61.13497,57.88456,7.83681,-19.47263,-2.07782,-1.20446,53.13139786,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,86,,,2821,86,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0
1021,HBIA.PK,Hills Bancorp,Financials,Banking & Investment Services,Banking Services,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,477,,,,,,,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0
1022,UCBI.OQ,United Community Banks Inc,Financials,Banking & Investment Services,Banking Services,,,,,,,,,17.90649297,11.13108591,16.2864814,13.00146971,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,3046,,,,,,,0,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,0,,,,,,,,,,,,,16.67,,16.66,,83.34,83.34,,0,1,0
1023,NXST.OQ,Nexstar Media Group Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,62.05911,60.51737,62.31907,56.13393,26.19075,25.21701,29.42839,21.21623,253.6118205,260.1489156,305.0826877,418.8371925,,,,,,,,,,,,,,,,,Median,Median,Median,Median,,,,11666,,,,,,,1,1,0,,0,0,0,,,0,0,0,,,,,,,,,,,1,0,11.049,,10.8,9.1,74.4,3,3,11.7,1,2.4,5.9,88.3,2.4,11.22,,,11.12,88.88,88.88,,0,1,0
